0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PROSPETTO ANDAMENTO ANNUALE OFFERTE - PORTAFOGLIO ORDINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MESE (ANNO 2024),NR. RICHIESTE RICEVUTE 2024,NR. RICHIESTE DECLINATE 2024,NR. OFFERTE PROPOSTE 2024,NR. OFFERTE ACCETTATE 2024,VALORE MENSILE ORDINI  TOTALE 2024,% ACCETTATE 2024,% DECLINATE 2024,,ANNO 2023,NR. RICHIESTE RICEVUTE 2023,NR. RICHIESTE DECLINATE 2023,NR. OFFERTE PROPOSTE 2023,NR. OFFERTE ACCETTATE 2023,VALORE MENSILE ORDINI  TOTALE 2023,% ACCETTATE 2023,% DECLINATE 2023,,,,,,,,,,,,,,,
,2024-01-01 00:00:00,72,22,50,26,198837.88,0.52,0.3055555556,,GENNAIO,58,11,47,22,192085.37,0.4680851064,0.1896551724,,,,,,,,,,,,,,,OFFERTE IN LAVORO
,2024-02-01 00:00:00,67,13,54,27,137846.6,0.5,0.1940298507,,FEBBRAIO,66,12,54,29,392857.12,0.537037037,0.1818181818,,,,,,,,,,,,,,,129
,2024-03-01 00:00:00,60,9,51,31,506949.66,0.6078431373,0.15,,MARZO,88,18,70,33,332442.48,0.4714285714,0.2045454545,,,,,,,,,,,,,,,
,2024-04-01 00:00:00,74,7,67,33,153236.8,0.4925373134,0.09459459459,,APRILE,86,32,54,28,507520.96,0.5185185185,0.3720930233,,,,,,,,,,,,,,,
,2024-05-01 00:00:00,79,18,61,36,935099.15,0.5901639344,0.2278481013,,MAGGIO,68,8,60,33,898934.16,0.55,0.1176470588,,,,,,,,,,,,,,,
,2024-06-01 00:00:00,70,15,55,29,635325.9,0.5272727273,0.2142857143,,GIUGNO,56,13,43,25,273409.45,0.5813953488,0.2321428571,,,,,,,,,,,,,,,
,2024-07-01 00:00:00,91,29,62,35,284703.05,0.564516129,0.3186813187,,LUGLIO,62,12,50,21,227180.8,0.42,0.1935483871,,,,,,,,,,,,,,,
,2024-08-01 00:00:00,46,7,39,17,23559,0.4358974359,0.152173913,,AGOSTO,42,11,31,11,90979,0.3548387097,0.2619047619,,,,,,,,,,,,,,,
,2024-09-01 00:00:00,89,18,71,33,652475.5,0.4647887324,0.202247191,,SETTEMBRE,59,17,42,16,650658.08,0.380952381,0.2881355932,,,,,,,,,,,,,,,
,2024-10-01 00:00:00,97,27,70,39,244028.74,0.5571428571,0.2783505155,,OTTOBRE,49,8,41,26,332846.74,0.6341463415,0.1632653061,,,,,,,,,,,,,,,
,2024-11-01 00:00:00,85,12,73,34,130883.18,0.4657534247,0.1411764706,,NOVEMBRE,50,8,42,21,332889.22,0.5,0.16,,,,,,,,,,,,,,,
,2024-12-01 00:00:00,63,6,57,21,4005095,0.3684210526,0.09523809524,,DICEMBRE,31,7,24,8,632629,0.3333333333,0.2258064516,,,,,,,,,,,,,,,
,TOT.,893,183,710,361,7908040.46,0.5078613953,0.1978484434,,TOT.,715,157,558,273,4864432.38,0.4791446123,0.2158801873,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MESE (ANNO 2025),NR. RICHIESTE RICEVUTE,NR. RICHIESTE DECLINATE,NR. OFFERTE PROPOSTE,NR. OFFERTE ACCETTATE,IMPORTO OFFERTE SVILUPPATE,IMPORTO OFFERTE ACCETTATE,IMPORTO OFFERTE NON ACCETTATE,VALORE MENSILE ORDINI NUOVI,VALORE MENSILE RIORDINI,VALORE MENSILE ORDINI  TOTALE,% ACCETTATE,DELTA  ACCETTATE 2024 - 2025,% DECLINATE,DELTA DECLINATE 2024 - 2025,,,,,,,,,,,,,,,,,
,2025-01-01 00:00:00,90,3,87,41,1048581.65,739797,298423,125971.9,90093,216064.9,0.4712643678,-0.04873563218,0.03333333333,-0.2722222222,,,,,,,,,,,,,,,,,
,2025-02-01 00:00:00,95,8,87,41,927090.7,527863.2,323609.5,283229.2,134372,417601.2,0.4712643678,-0.02873563218,0.08421052632,-0.1098193244,,,,,,,,,,,,,,,,,
,2025-03-01 00:00:00,104,33,71,21,1228618,120741,353697,55482,25362,80844,0.2957746479,-0.3120684894,0.3173076923,0.1673076923,,,,,,,,,,,,,,,,,
,2025-04-01 00:00:00,109,41,68,28,2084661,1836962,244869,43080,91812,134892,0.4117647059,-0.08077260755,0.376146789,0.2815521944,,,,,,,,,,,,,,,,,
,2025-05-01 00:00:00,94,39,55,29,1515052,659645,853307,27376,317175,344811,0.5272727273,-0.06289120715,0.414893617,0.1870455158,,,,,,,,,,,,,,,,,
,2025-06-01 00:00:00,72,13,59,22,756060.6,159710.5,596350.1,158183.76,16521,174704.76,0.3728813559,-0.1543913713,0.1805555556,-0.03373015873,,,,,,,,,,,,,,,,,
